resource_id,role
1722,role_3
1723,role_3
1724,role_0
1725,role_0
1726,role_0
1727,role_3
1728,role_3
1729,role_3
1730,role_0
1731,role_3
1732,role_0
1733,role_0
1734,role_3
1735,role_0
1736,role_3
1737,role_0
1738,role_0
1740,role_3
1741,role_1
1742,role_3
1743,role_3
1744,role_0
1745,role_0
1746,role_0
1747,role_3
1748,role_0
1749,role_3
1750,role_0
1751,role_3
1752,role_3
1753,role_3
1754,role_3
1755,role_0
1756,role_0
1757,role_0
1758,role_0
1759,role_0
2144,role_3
2145,role_0
2146,role_0
2147,role_0
2148,role_3
2150,role_0
2151,role_0
2152,role_0
2153,role_0
2154,role_0
2155,role_0
2156,role_0
2157,role_0
2158,role_0
2357,role_3
2358,role_3
2359,role_3
78783,role_0
78784,role_3
84586,role_0
84595,role_0
84598,role_0
84601,role_0
84616,role_0
84617,role_0
84620,role_0
84644,role_0
84683,role_0
84695,role_0
84696,role_0
84697,role_0
84754,role_0
84756,role_0
84759,role_3
84769,role_0
84774,role_0
84791,role_0
84794,role_0
84802,role_0
84803,role_0
84809,role_0
84810,role_0
84812,role_0
84828,role_0
84829,role_0
84842,role_0
84845,role_0
84846,role_0
84853,role_0
84871,role_0
84877,role_0
84878,role_0
84881,role_0
84882,role_0
84884,role_0
84894,role_0
84906,role_0
84907,role_0
84909,role_0
84910,role_0
84911,role_0
84912,role_0
84916,role_0
84917,role_0
84918,role_0
84919,role_0
84922,role_0
84923,role_0
84929,role_0
84930,role_0
84935,role_0
84942,role_0
84943,role_0
84952,role_0
84953,role_0
84960,role_0
84961,role_0
84968,role_0
84971,role_0
84973,role_0
84974,role_0
84975,role_0
84976,role_0
84978,role_0
84988,role_0
84989,role_0
84990,role_0
84992,role_0
85000,role_0
85001,role_0
85007,role_0
85008,role_0
85009,role_0
85010,role_0
85011,role_0
85025,role_0
85026,role_0
85040,role_0
85041,role_0
85055,role_0
85056,role_0
85058,role_0
85059,role_0
85062,role_0
85063,role_0
85072,role_0
85079,role_0
85089,role_0
85090,role_0
85096,role_0
85102,role_0
85110,role_0
85111,role_0
85112,role_0
85119,role_0
85121,role_0
85130,role_0
85131,role_0
85133,role_0
85138,role_0
85139,role_0
85141,role_0
85145,role_0
85149,role_0
85150,role_0
85151,role_0
85152,role_0
85153,role_0
85154,role_0
85155,role_0
85157,role_0
85158,role_0
85159,role_0
85160,role_1
85161,role_0
85162,role_0
85163,role_0
85165,role_0
85166,role_0
85167,role_0
85168,role_0
85169,role_0
85171,role_0
85172,role_0
85174,role_0
85176,role_0
85178,role_0
85180,role_0
85181,role_0
85183,role_0
85184,role_0
85185,role_0
85186,role_0
85188,role_0
85189,role_0
85191,role_0
85192,role_0
85193,role_0
85194,role_0
85195,role_0
85197,role_0
85199,role_0
85200,role_0
85201,role_0
85203,role_0
85204,role_0
85206,role_0
85207,role_0
85208,role_0
85209,role_0
85210,role_0
85211,role_0
85212,role_0
85213,role_0
85216,role_0
85217,role_0
85218,role_0
85219,role_0
85226,role_0
85229,role_0
85230,role_0
85232,role_0
85236,role_0
85238,role_0
85242,role_0
85243,role_0
85249,role_0
85250,role_0
85251,role_0
85252,role_0
85253,role_0
85254,role_0
85255,role_0
85259,role_0
85260,role_0
85261,role_0
85264,role_0
85266,role_0
85267,role_0
85270,role_0
85271,role_0
85272,role_1
85273,role_0
85274,role_0
85275,role_0
85276,role_0
85279,role_0
85281,role_0
85283,role_0
85284,role_0
85285,role_0
85286,role_0
85287,role_0
85288,role_0
85290,role_3
85295,role_0
85301,role_0
85302,role_0
85309,role_0
85310,role_0
85312,role_0
85313,role_0
85314,role_0
85315,role_0
85317,role_0
85318,role_0
85319,role_0
85320,role_0
85323,role_0
85324,role_0
85325,role_0
85326,role_0
85329,role_0
85330,role_1
85331,role_0
85332,role_0
85334,role_0
85336,role_0
85340,role_0
85341,role_0
85343,role_0
85344,role_0
85345,role_0
85348,role_0
85349,role_0
85351,role_0
85352,role_0
85353,role_0
85354,role_0
85356,role_0
85357,role_0
85358,role_0
85359,role_0
85360,role_0
85361,role_0
85362,role_0
85363,role_0
85364,role_0
85367,role_0
85368,role_0
85370,role_0
85372,role_0
85374,role_0
85376,role_0
85377,role_0
85378,role_0
85380,role_0
85382,role_0
85384,role_0
85385,role_0
85386,role_0
85387,role_0
85389,role_0
85390,role_0
85392,role_0
85393,role_0
85394,role_0
85397,role_0
85398,role_0
85401,role_0
85402,role_0
85404,role_0
85405,role_0
85406,role_0
85407,role_0
85408,role_0
85410,role_0
85411,role_0
85412,role_1
85413,role_0
85414,role_0
85415,role_0
85416,role_0
85417,role_0
85418,role_0
85419,role_0
85420,role_0
85421,role_0
85424,role_0
85425,role_0
85427,role_0
85428,role_0
85429,role_0
85430,role_0
85432,role_0
85433,role_0
85434,role_0
85437,role_0
85439,role_0
85440,role_0
85441,role_0
85442,role_0
85444,role_0
85445,role_0
85446,role_0
85448,role_0
85449,role_0
85450,role_0
85451,role_1
85452,role_0
85453,role_0
85454,role_0
85455,role_0
85457,role_0
85458,role_0
85459,role_0
85460,role_0
85461,role_0
85462,role_0
85463,role_0
85464,role_0
85465,role_0
85467,role_0
85469,role_0
85471,role_0
85472,role_0
85473,role_0
85475,role_0
85476,role_0
85477,role_0
85479,role_0
85480,role_0
85481,role_0
85482,role_0
85483,role_0
85485,role_0
85486,role_0
85488,role_0
85491,role_0
85492,role_0
85493,role_0
85494,role_0
85495,role_0
85496,role_0
85498,role_0
85499,role_0
85500,role_0
85501,role_0
85502,role_0
85504,role_0
85505,role_0
85506,role_0
85508,role_0
85509,role_0
85510,role_0
85511,role_0
85512,role_0
85513,role_0
85514,role_3
85515,role_0
85516,role_0
85517,role_0
85518,role_0
85519,role_0
85520,role_0
85521,role_0
85522,role_0
85523,role_0
85525,role_0
85526,role_0
85528,role_0
85529,role_0
85530,role_0
85531,role_0
85532,role_0
85533,role_0
85534,role_1
85535,role_3
85536,role_0
85538,role_0
85539,role_0
85540,role_0
85541,role_0
85542,role_0
85543,role_0
85544,role_0
85545,role_0
85546,role_0
85548,role_0
85551,role_0
85552,role_0
85554,role_0
85555,role_0
85556,role_0
85558,role_0
85559,role_0
85561,role_0
85562,role_0
85563,role_0
85564,role_0
85565,role_0
85566,role_3
85567,role_0
85568,role_0
85570,role_0
85571,role_0
85572,role_0
85573,role_0
85574,role_0
85575,role_0
85576,role_0
85577,role_0
85578,role_0
85579,role_0
85582,role_0
85583,role_0
85584,role_0
85585,role_0
85586,role_0
85587,role_0
85588,role_0
85590,role_0
85591,role_0
85592,role_0
